N,CT,CPU,CT/CPU,Log(CPU)
103741,103741,6450357.920000000,0.01608298350054969,22.620947784911618
106,106,12439.09000000000,0.008521523680590783,13.602593326391933
1096,1096,31412.46000000000,0.03489061346994154,14.939049308557461
11519,11519,262274.5300000000,0.04391962879506447,18.000718185864166
124,124,9113.790000000001,0.01360575567354525,13.153835413019046
1282,1282,42934.69000000000,0.02985930491171591,15.389856154715128
13477,13477,2105578.980000000,0.006400614808569185,21.005785561153807
145,145,6862.710000000000,0.02112867948667509,12.744562676149416
1499,1499,33075.11000000000,0.04532108887922066,15.013458334124168
15768,15768,598916.75,0.02632753216536355,19.19199595539899
169,169,21888.14000000000,0.007721076345454662,14.41786174262072
1753,1753,130555.6800000000,0.01342722124384018,16.99430569983612
18448,18448,141551.0700000000,0.1303275206609176,17.110963129211093
197,197,15490.70000000000,0.01271730780403726,13.919114718235402
2051,2051,35921.46000000000,0.05709678838220941,15.132558368045935
21584,21584,3081041.550000000,0.007005423214756712,21.55498670758419
230,230,44624.71000000000,0.005154095119049513,15.44555517316354
2399,2399,30365.60000000000,0.07900387280343547,14.890150255520657
25253,25253,1141494.970000000,0.02212274312518434,20.122493071662046
269,269,7601.670000000000,0.03538696102303836,12.892100681646072
2806,2806,589481.3800000000,0.004760116426408583,19.16908671782689
29546,29546,2666097.400000000,0.01108211575466073,21.346298056401544
314,314,15080.17000000000,0.02082204643581604,13.880365071867867
3283,3283,18383452.32000000,0.0001785845195370790,24.13190438716298
34568,34568,210828.1600000000,0.1639629165287977,17.685708052887435
367,367,121756.6300000000,0.003014209575281444,16.893640807793247
3841,3841,25186.08000000000,0.1525048757091219,14.620338975831917
40444,40444,1165853.130000000,0.03469047597787896,20.152954623757456
429,429,5022.160000000000,0.08542141230068337,12.294092276539024
4493,4493,59479.09000000000,0.07553915165817097,15.860094954604035
47319,47319,996666.4900000000,0.04747726594078627,19.926751297297823
50,50,43331.54000000000,0.001153893907301702,15.403129890354526
501,501,8799.049999999999,0.05693796489393742,13.103132054517332
5256,5256,90056.80000000000,0.05836316635723232,16.45854759466923
55363,55363,1056385.050000000,0.05240797377812190,20.01070435901312
58,58,4625.320000000000,0.01253967293073777,12.17533746573813
586,586,6021.120000000000,0.09732408588435375,12.55581615506164
6149,6149,1407081.110000000,0.004370039478392258,20.424274063230552
64774,64774,1187672.860000000,0.05453858733456281,20.179706075286123
67,67,16120.18000000000,0.004156281133337221,13.976580232823364
685,685,11419.60000000000,0.05998458790150268,13.479224497139608
7194,7194,1258886.290000000,0.005714574904140071,20.263716545580625
75785,75785,3941192.810000000,0.01922895013096302,21.910200899674457
78,78,1067.380000000000,0.07307613033783657,10.059858168900147
801,801,7663.25,0.1045248425928947,12.903740656510255
8416,8416,70043.42000000000,0.1201540415930576,16.095961907304094
88668,88668,3732827.840000000,0.02375357337669235,21.83183754163895
91,91,7553.770000000000,0.01204696462825847,12.882981141393437
937,937,9298.520000000000,0.1007687244851869,13.182785392433802
9846,9846,696219.4200000000,0.01414209330730820,19.40918253088126
