Instance,N,M,N+M,CPU,CT,CT/CPU,Log(CPU),Log(CT/CPU)
../INF-2926/input/alue2087.stp,1244,1971,3215,322580.8000000000,1549507,4.803469394334691,18.299301046318117,2.264076795414845
../INF-2926/input/dmxa1304.stp,298,503,801,12391.35000000000,89307,7.207205026086746,13.597045752839644,2.849439886821083
../INF-2926/input/dmxa1200.stp,770,1383,2153,49723.15000000000,594283,11.95183732325888,15.601630074681347,3.5791605117043868
../INF-2926/input/alut0787.stp,1160,2089,3249,102553.2200000000,1347689,13.14136211422713,16.646013265182912,3.7160429149611574
../INF-2926/input/dmxa1010.stp,3983,7108,11091,1402894.510000000,15871397,11.31332176928970,20.419975099578036,3.499950684379994
../INF-2926/input/alut2625.stp,36711,68117,104828,188306810.8200000,1347765638,7.157285666572684,27.488509940455927,2.839412562653537
../INF-2926/input/dmxa0848.stp,499,861,1360,28392.95000000000,249862,8.800142288842828,14.793245131016418,3.1375268507667915
../INF-2926/input/alue6735.stp,4119,6696,10815,959164.5,16972857,17.69545995499208,19.87141873804537,4.145307356857454
../INF-2926/input/alut2288.stp,9070,16595,25665,6454120.040000000,82281495,12.74867750987786,22.6217889800437,3.672275691077499
../INF-2926/input/dmxa1801.stp,2333,4137,6470,341351.0300000000,5447026,15.95725666918304,18.380896579540824,3.9961407433177834
../INF-2926/input/dmxa0454.stp,1848,3286,5134,157857.0500000000,3418390,21.65497201423693,17.268259168238885,4.436626402829778
../INF-2926/input/alue6179.stp,3372,5213,8585,774204.2400000000,11375597,14.69327654418426,19.562354683139397,3.8770842421055347
../INF-2926/input/dmxa0734.stp,663,1154,1817,52668.68000000000,440723,8.367838343394974,15.684657682190785,3.0648549807154515
../INF-2926/input/dmxa0296.stp,233,386,619,5224.440000000000,54675,10.46523646553506,12.35106068979424,3.387533005028579
../INF-2926/input/alut2566.stp,5021,9055,14076,1517961.300000000,25219496,16.61405728854879,20.533703579438694,4.054332529131835
../INF-2926/input/alue3146.stp,3626,5869,9495,596975.0200000000,13153745,22.03399566032093,19.18731103863022,4.461659232986871
../INF-2926/input/dmxa0903.stp,632,1087,1719,19886.83000000000,400511,20.13950941401923,14.279525705607469,4.331956635502076
../INF-2926/input/dmxa1721.stp,1005,1731,2736,38456.58000000000,1011756,26.30904776243753,15.230942846948322,4.717487126999281
../INF-2926/input/alue7229.stp,940,1474,2414,39692.85000000000,885074,22.29807131511091,15.276591533049979,4.478847023667084
../INF-2926/input/dmxa0368.stp,2050,3676,5726,231789.2300000000,4206176,18.14655495425736,17.822454008052272,4.181623779628523
../INF-2926/input/alut2610.stp,33901,62816,96717,122031038.1500000,1149340617,9.418428577057876,26.862672897788418,3.2354863726616596
../INF-2926/input/alue7066.stp,6405,10454,16859,1610344.860000000,41034479,25.48179586824650,20.61893824805816,4.6713950521877265
../INF-2926/input/alue5901.stp,11543,18429,29972,5704266.410000000,133259278,23.36133490651605,22.443609931788036,4.546050809515659
../INF-2926/input/alut2010.stp,6104,11011,17115,1432510.970000000,37269827,26.01713200143940,20.450114756337072,4.701390030219433
../INF-2926/input/alut0805.stp,966,1666,2632,46774.95000000000,934822,19.98552644096894,15.513448490850024,4.320883670336349
../INF-2926/input/alue7080.stp,34479,55494,89973,167629775.9000000,1188856935,7.092158470158761,27.32070319529482,2.8262247727788914
../INF-2926/input/dmxa1516.stp,720,1269,1989,24158.27000000000,519669,21.51101879397821,14.560229524949845,4.427003949458347
../INF-2926/input/alue5067.stp,3524,5560,9084,566674.3400000000,12424136,21.92464899681182,19.11216035062187,4.454481840881775
../INF-2926/input/alue7065.stp,34046,54841,88887,126980173.6500000,1159184957,9.128865740844732,26.9200280150748,3.1904356168672527
../INF-2926/input/alut1181.stp,3041,5693,8734,427373.0200000000,9253374,21.65175050123660,18.70513630816966,4.436411763597421
../INF-2926/input/alue6951.stp,2818,4419,7237,323227,7945543,24.58192848988482,18.302188189664964,4.619526196670173
../INF-2926/input/alue5345.stp,5179,8165,13344,1057692,26830206,25.36674759759930,20.012488145014576,4.664866650725601
../INF-2926/input/alue5623.stp,4472,6938,11410,607034.1300000000,20005722,32.95650279169641,19.211418107552863,5.04249125267652
../INF-2926/input/alue6457.stp,3932,6137,10069,713888.3300000000,15466761,21.66551875137110,19.44533889273174,4.437328875280701
../INF-2926/input/alue2105.stp,1220,1858,3078,56022.88000000000,1490258,26.60088163978718,15.773728530311347,4.733402157014974
../INF-2926/input/alut2764.stp,387,626,1013,7713.040000000000,150395,19.49879684274942,12.913083877423345,4.28531320129556
../INF-2926/input/dmxa0628.stp,169,280,449,1462.880000000000,28841,19.71521929344854,10.514595714763665,4.301237852597164
../INF-2926/input/dmxa1109.stp,343,559,902,5642.740000000000,118208,20.94868804871392,12.46218016085214,4.388787990130297
